Select 	CRN 	Subj 	Crse 	Sec 	Cmp 	Cred 	Part of Term 	Title 	Days 	Time 	Cap 	Act 	Rem 	Instructor 	Date (MM/DD) 	Location 	Attribute
SR 	12032 	CSCE 	101 	011 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	MW 	03:30 pm-04:20 pm 	24 	3 	21 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	04:25 pm-05:15 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 244 	ARP Analytical Reasoning
SR 	12034 	CSCE 	101 	012 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	TR 	10:05 am-10:55 am 	24 	2 	22 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	08:30 am-09:20 am 	  	  	  	TBA 	08/20-12/04 	SMWALT 244 	ARP Analytical Reasoning
SR 	12044 	CSCE 	101 	013 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	TR 	10:05 am-10:55 am 	24 	9 	15 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	09:40 am-10:30 am 	  	  	  	TBA 	08/20-12/04 	SMWALT 244 	ARP Analytical Reasoning
SR 	12054 	CSCE 	101 	014 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	TR 	10:05 am-10:55 am 	24 	11 	13 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	10:50 am-11:40 am 	  	  	  	TBA 	08/20-12/04 	SMWALT 244 	ARP Analytical Reasoning
SR 	12056 	CSCE 	101 	015 	COL 	3.000 	30 - Columbia
SR 	24347 	CSCE 	101 	Z1A 	COL 	3.000 	3B3 - Columbi Full Term 	Introduction to Computer Concepts 	TR 	02:50 pm-03:40 pm 	24 	5 	19 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	01:10 pm-02:00 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 244 	ARP Analytical Reasoning
SR 	12080 	CSCE 	101 	016 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	TR 	02:50 pm-03:40 pm 	24 	15 	9 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	02:20 pm-03:10 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 244 	ARP Analytical Reasoning
SR 	12084 	CSCE 	101 	017 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	TR 	02:50 pm-03:40 pm 	24 	6 	18 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	03:30 pm-04:20 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 244 	ARP Analytical Reasoning
SR 	27354 	CSCE 	101 	018 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	MW 	03:30 pm-04:20 pm 	24 	3 	21 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	03:30 pm-04:20 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 244 	ARP Analytical Reasoning
SR 	24318 	CSCE 	101 	Z01 	COL 	3.000 	3B2 - Columbia 	Introduction to Computer Concepts 	  	TBA 	23 	16 	7 	James Orren McKay (P) 	08/24-12/08 	3WEB 1 	ARP Analytical Reasoning and Ft. Jackson Location
SR 	24347 	CSCE 	101 	Z1A 	COL 	3.000 	3B3 - Columbia 	Introduction to Computer Concepts 	TR 	05:20 pm-07:50 pm 	15 	1 	14 	James Orren McKay (P) 	08/24-10/13 	FJAC 1 	ARP Analytical Reasoning and Ft. Jackson Location
SR 	24387 	CSCE 	101 	Z1B 	COL 	3.000 	3B4 - Columbia 	Introduction to Computer Concepts 	  	TBA 	23 	13 	10 	James Orren McKay (P) 	10/19-12/08 	3WEB 1 	ARP Analytical Reasoning and Ft. Jackson Location
C 	12204 	CSCE 	102 	001 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	09:40 am-10:30 am 	24 	24 	0 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	08:30 am-09:20 am 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
SR 	12205 	CSCE 	102 	002 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	09:40 am-10:30 am 	24 	23 	1 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	09:40 am-10:30 am 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
C 	12206 	CSCE 	102 	003 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	09:40 am-10:30 am 	24 	24 	0 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	10:05 am-10:50 am 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
C 	12207 	CSCE 	102 	004 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	12:00 pm-12:50 pm 	24 	24 	0 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	10:50 am-11:40 am 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
C 	12208 	CSCE 	102 	005 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	12:00 pm-12:50 pm 	24 	24 	0 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	12:00 pm-12:50 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
SR 	12210 	CSCE 	102 	006 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	12:00 pm-12:50 pm 	24 	23 	1 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	11:40 am-12:30 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
SR 	12213 	CSCE 	102 	007 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	02:20 pm-03:10 pm 	24 	22 	2 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	01:10 pm-02:00 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
SR 	12216 	CSCE 	102 	008 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	02:20 pm-03:10 pm 	24 	23 	1 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	02:20 pm-03:10 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
C 	12220 	CSCE 	102 	009 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	MW 	02:20 pm-03:10 pm 	24 	24 	0 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	02:50 pm-03:40 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
C 	12224 	CSCE 	102 	010 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	11:40 am-12:30 pm 	24 	24 	0 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	12:00 pm-12:50 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
C 	12225 	CSCE 	102 	011 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	11:40 am-12:30 pm 	24 	24 	0 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	01:10 pm-02:00 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
C 	12227 	CSCE 	102 	012 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	11:40 am-12:30 pm 	24 	24 	0 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	02:20 pm-03:10 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
SR 	12228 	CSCE 	102 	013 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	06:40 pm-07:30 pm 	24 	16 	8 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	T 	05:30 pm-06:20 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
SR 	12230 	CSCE 	102 	014 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	06:40 pm-07:30 pm 	24 	7 	17 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	05:30 pm-06:20 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
SR 	12232 	CSCE 	102 	015 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	06:40 pm-07:30 pm 	24 	5 	19 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	05:30 pm-06:20 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
SR 	12233 	CSCE 	102 	016 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	05:30 pm-06:20 pm 	24 	8 	16 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	T 	07:00 pm-07:50 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
SR 	27418 	CSCE 	102 	017 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	05:30 pm-06:20 pm 	24 	1 	23 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	07:00 pm-07:50 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
SR 	27419 	CSCE 	102 	018 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	05:30 pm-06:20 pm 	24 	1 	23 	TBA 	08/20-12/04 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	07:00 pm-07:50 pm 	  	  	  	TBA 	08/20-12/04 	SMWALT 361 	ARP Analytical Reasoning
C 	24319 	CSCE 	102 	Z01 	COL 	3.000 	3B2 - Columbia 	General Applications Programming 	  	TBA 	23 	23 	0 	James Orren McKay (P) 	08/24-12/08 	3WEB 1 	ARP Analytical Reasoning and Ft. Jackson Location
C 	12248 	CSCE 	145 	001 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	24 	0 	TBA 	08/20-12/04 	SWGN 1C01 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	08:00 am-09:55 am 	  	  	  	TBA 	08/20-12/04 	SWGN 1D15 	ARP Analytical Reasoning
C 	12250 	CSCE 	145 	002 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	24 	0 	TBA 	08/20-12/04 	SWGN 1C01 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	10:05 am-12:00 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D15 	ARP Analytical Reasoning
C 	12251 	CSCE 	145 	003 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	24 	0 	TBA 	08/20-12/04 	SWGN 1C01 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	01:15 pm-03:10 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D15 	ARP Analytical Reasoning
SR 	12253 	CSCE 	145 	004 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	19 	5 	TBA 	08/20-12/04 	SWGN 1C01 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	08:00 am-09:55 am 	  	  	  	TBA 	08/20-12/04 	SWGN 1D11 	ARP Analytical Reasoning
C 	12254 	CSCE 	145 	005 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	24 	0 	TBA 	08/20-12/04 	SWGN 1C01 	ARP Analytical Reasoning
