Select 	CRN 	Subj 	Crse 	Sec 	Cmp 	Cred 	Part of Term 	Title 	Days 	Time 	Cap 	Act 	Rem 	Instructor 	Date (MM/DD) 	Location 	Attribute
SR 	15124 	CSCE 	215 	803 	COL 	1.000 	3A - Columbia First Half Term 	UNIX/Linux Fundamentals 	MW 	08:30 am-09:20 am 	16 	13 	3 	TBA 	08/20-10/19 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	MF 	12:00 pm-12:50 pm 	  	  	  	TBA 	08/20-10/19 	SWGN 1D39 	 
SR 	17992 	CSCE 	215 	804 	COL 	1.000 	3A - Columbia First Half Term 	UNIX/Linux Fundamentals 	MW 	08:30 am-09:20 am 	16 	8 	8 	TBA 	08/20-10/19 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	MF 	01:10 pm-02:00 pm 	  	  	  	TBA 	08/20-10/19 	SWGN 1D39 	 
SR 	15125 	CSCE 	215 	851 	COL 	1.000 	3B - Columbia Second Half Term 	UNIX/Linux Fundamentals 	MW 	08:30 am-09:20 am 	16 	10 	6 	TBA 	10/26-12/04 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	MF 	09:40 am-10:30 am 	  	  	  	TBA 	10/26-12/04 	SWGN 1D39 	 
SR 	17993 	CSCE 	215 	852 	COL 	1.000 	3B - Columbia Second Half Term 	UNIX/Linux Fundamentals 	MW 	08:30 am-09:20 am 	16 	2 	14 	TBA 	10/26-12/04 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	MF 	10:50 am-11:40 am 	  	  	  	TBA 	10/26-12/04 	SWGN 1D39 	 
SR 	17994 	CSCE 	215 	853 	COL 	1.000 	3B - Columbia Second Half Term 	UNIX/Linux Fundamentals 	MW 	08:30 am-09:20 am 	16 	2 	14 	TBA 	10/26-12/04 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	MF 	12:00 pm-12:50 pm 	  	  	  	TBA 	10/26-12/04 	SWGN 1D39 	 
SR 	17995 	CSCE 	215 	854 	COL 	1.000 	3B - Columbia Second Half Term 	UNIX/Linux Fundamentals 	MW 	08:30 am-09:20 am 	16 	1 	15 	TBA 	10/26-12/04 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	MF 	01:10 pm-02:00 pm 	  	  	  	TBA 	10/26-12/04 	SWGN 1D39 	 
SR 	13474 	CSCE 	240 	001 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Software Engineering 	TR 	02:50 pm-04:05 pm 	57 	56 	1 	Duncan A. Buell (P) 	08/20-12/04 	JONES 002 	 
C 	16610 	CSCE 	240 	002 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Software Engineering 	MWF 	01:10 pm-02:00 pm 	60 	60 	0 	Homayoun Valafar (P) 	08/20-12/04 	300MN B201 	 
SR 	19041 	CSCE 	240 	003 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Software Engineering 	MWF 	02:20 pm-03:10 pm 	60 	51 	9 	Stephen A. Fenner (P) 	08/20-12/04 	300MN B201 	 
C 	19765 	CSCE 	274 	001 	COL 	3.000 	30 - Columbia Full Term 	Robotic Applications and Design 	TR 	04:25 pm-05:40 pm 	30 	30 	0 	TBA 	08/20-12/04 	SWGN 2A15 	 
SR 	27017 	CSCE 	274 	002 	COL 	3.000 	30 - Columbia Full Term 	Robotic Applications and Design 	TR 	06:00 pm-07:15 pm 	35 	33 	2 	TBA 	08/20-12/04 	SWGN 2A19 	 
C 	12245 	CSCE 	311 	001 	COL 	3.000 	30 - Columbia Full Term 	Operating Systems 	TR 	08:30 am-09:45 am 	66 	66 	0 	John R. Rose (P) 	08/20-12/04 	SWGN 2A14 	 
C 	19040 	CSCE 	311 	002 	COL 	3.000 	30 - Columbia Full Term 	Operating Systems 	TR 	04:25 pm-05:40 pm 	25 	25 	0 	TBA 	08/20-12/04 	SWGN 2A19 	 
C 	13481 	CSCE 	330 	001 	COL 	3.000 	30 - Columbia Full Term 	Programming Language Structures 	TR 	01:15 pm-02:30 pm 	49 	49 	0 	Marco Valtorta (P) 	08/20-12/04 	SWGN 2A31 	 
SR 	20053 	CSCE 	330 	002 	COL 	3.000 	30 - Columbia Full Term 	Programming Language Structures 	MW 	04:40 pm-05:55 pm 	30 	20 	10 	TBA 	08/20-12/04 	HZNPG 210 	 
C 	14644 	CSCE 	350 	001 	COL 	3.000 	30 - Columbia Full Term 	Data Structures and Algorithms 	TR 	10:05 am-11:20 am 	49 	49 	0 	Yan Tong (P) 	08/20-12/04 	SWGN 2A31 	 
SR 	19076 	CSCE 	350 	002 	COL 	3.000 	30 - Columbia Full Term 	Data Structures and Algorithms 	MWF 	08:30 am-09:20 am 	35 	18 	17 	TBA 	08/20-12/04 	SWGN 2A27 	 
C 	15118 	CSCE 	355 	001 	COL 	3.000 	30 - Columbia Full Term 	Foundations of Computation 	TR 	11:40 am-12:55 pm 	49 	49 	0 	Caroline Merriam Eastman (P) 	08/20-12/04 	SWGN 2A31 	 
C 	13492 	CSCE 	390 	001 	COL 	1.000 	30 - Columbia Full Term 	Professional Issues in Computer Science and Engineering 	R 	06:00 pm-07:15 pm 	49 	66 	-17 	Marco Valtorta (P) 	08/20-12/04 	SWGN 1C01 	VSR Values/Ethics
SR 	13497 	CSCE 	416 	001 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Networks 	TR 	02:50 pm-04:05 pm 	66 	35 	31 	Srihari Nelakuditi (P) 	08/20-12/04 	300MN B213 	 
SR 	15116 	CSCE 	490 	001 	COL 	3.000 	30 - Columbia Full Term 	Capstone Computing Project I 	TR 	08:30 am-09:45 am 	78 	77 	1 	Jose M Vidal (P) 	08/20-12/04 	300MN B213 	INT Integrative
SR 	16721 	CSCE 	490 	002 	COL 	3.000 	30 - Columbia Full Term 	Capstone Computing Project I 	TR 	08:30 am-09:45 am 	30 	12 	18 	TBA 	08/20-12/04 	300MN B103 	INT Integrative
SR 	16902 	CSCE 	500 	001 	COL 	3.000 	30 - Columbia Full Term 	Computer Programming and Applications 	TR 	08:30 am-09:45 am 	27 	10 	17 	Duncan A. Buell (P) 	08/20-12/04 	SWGN 2A15 	 
SR 	21980 	CSCE 	500 	H10 	COL 	3.000 	30 - Columbia Full Term 	HNRS: Computer Programming and Applications 	TR 	08:30 am-09:45 am 	3 	1 	2 	Duncan A. Buell (P) 	08/20-12/04 	SWGN 2A15 	SC Honors College
C 	13499 	CSCE 	513 	001 	COL 	3.000 	30 - Columbia Full Term 	Computer Architecture 	MW 	10:05 am-11:20 am 	32 	33 	-1 	TBA 	08/20-12/04 	SWGN 2A21 	 
SR 	13501 	CSCE 	513 	H10 	COL 	3.000 	30 - Columbia Full Term 	HNRS: Computer Architecture 	MW 	10:05 am-11:20 am 	3 	1 	2 	TBA 	08/20-12/04 	SWGN 2A21 	SC Honors College
C 	14878 	CSCE 	520 	001 	COL 	3.000 	30 - Columbia Full Term 	Database System Design 	TR 	02:50 pm-04:05 pm 	45 	42 	3 	Caroline Merriam Eastman (P) 	08/20-12/04 	SWGN 2A14 	 
C 	14882 	CSCE 	520 	H10 	COL 	3.000 	30 - Columbia Full Term 	HNRS: Database System Design 	TR 	02:50 pm-04:05 pm 	3 	2 	1 	Caroline Merriam Eastman (P) 	08/20-12/04 	SWGN 2A14 	SC Honors College
C 	13535 	CSCE 	522 	001 	COL 	3.000 	30 - Columbia Full Term 	Information Security Principles 	MW 	02:50 pm-04:05 pm 	20 	20 	0 	Csilla Farkas (P) 	08/20-12/04 	SWGN 1A20 	 
C 	26983 	CSCE 	522 	002 	COL 	3.000 	30 - Columbia Full Term 	Information Security Principles 	MW 	02:50 pm-04:05 pm 	15 	15 	0 	Csilla Farkas (P) 	08/20-12/04 	SWGN 3A75 	 
C 	17741 	CSCE 	522 	006 	COL 	3.000 	30 - Columbia Full Term 	Information Security Principles 	MW 	02:50 pm-04:05 pm 	10 	11 	-1 	Csilla Farkas (P) 	08/20-12/04 	3WEB 1 	 
C 	13536 	CSCE 	522 	H10 	COL 	3.000 	30 - Columbia Full Term 	HNRS: Information Security Principles 	MW 	02:50 pm-04:05 pm 	3 	3 	0 	Csilla Farkas (P) 	08/20-12/04 	SWGN 1A20 	SC Honors College
SR 	16229 	CSCE 	552 	001 	COL 	3.000 	30 - Columbia Full Term 	Computer Game Development 	F 	08:30 am-11:15 am 	27 	26 	1 	Jijun Tang (P) 	08/20-12/04 	SWGN 2A15 	 
SR 	18789 	CSCE 	552 	H10 	COL 	3.000 	30 - Columbia Full Term 	HNRS: Computer Game Development 	F 	08:30 am-11:15 am 	3 	0 	3 	Jijun Tang (P) 	08/20-12/04 	SWGN 2A15 	SC Honors College
SR 	22014 	CSCE 	569 	001 	COL 	3.000 	30 - Columbia Full Term 	Parallel Computing 	MWF 	01:10 pm-02:00 pm 	27 	18 	9 	Jianjun Hu (P) 	08/20-12/04 	SWGN 2A21 	 
SR 	22015 	CSCE 	569 	H10 	COL 	3.000 	30 - Columbia Full Term 	HNRS: Parallel Computing 	MWF 	01:10 pm-02:00 pm 	3 	0 	3 	Jianjun Hu (P) 	08/20-12/04 	SWGN 2A21 	SC Honors College
SR 	19075 	CSCE 	572 	001 	COL 	3.000 	30 - Columbia Full Term 	Human-Computer Interaction 	TR 	01:15 pm-02:30 pm 	27 	12 	15 	Jenay Michelle Beer (P) 	08/20-12/04 	300MN B111 	 
SR 	21164 	CSCE 	572 	H10 	COL 	3.000 	30 - Columbia Full Term 	HNRS: Human-Computer Interaction 	TR 	01:15 pm-02:30 pm 	3 	1 	2 	Jenay Michelle Beer (P) 	08/20-12/04 	300MN B111 	SC Honors College
C 	21160 	CSCE 	587 	001 	COL 	3.000 	30 - Columbia Full Term 	Big Data Analytics 	TR 	10:05 am-11:20 am 	27 	28 	-1 	John R. Rose (P) 	08/20-12/04 	SWGN 2A15 	 
SR 	21161 	CSCE 	587 	H10 	COL 	3.000 	30 - Columbia Full Term 	HNRS: Big Data Analytics 	TR 	10:05 am-11:20 am 	2 	0 	2 	John R. Rose (P) 	08/20-12/04 	SWGN 2A15 	SC Honors College
SR 	15117 	CSCE 	590 	001 	COL 	3.000 	30 - Columbia Full Term 	Topic: Penetration Testing 	TR 	04:25 pm-05:40 pm 	27 	23 	4 	Veronica L. Wilkinson (P) 	08/20-12/04 	300MN B101 	 
SR 	13542 	CSCE 	611 	001 	COL 	3.000 	30 - Columbia Full Term 	Advanced Digital Design 	MW 	03:55 pm-05:10 pm 	30 	23 	7 	Jason Daniel Bakos (P) 	08/20-12/04 	SWGN 2A31 	 
C 	21284 	CSCE 	740 	001 	COL 	3.000 	30 - Columbia Full Term 	Software Engineering 	MW 	08:05 am-09:20 am 	23 	24 	-1 	TBA 	08/20-12/04 	SWGN 2A07 	 
C 	21285 	CSCE 	740 	006 	COL 	3.000 	30 - Columbia Full Term 	Software Engineering 	MW 	08:05 am-09:20 am 	10 	10 	0 	TBA 	08/20-12/04 	3WEB 1 	 
SR 	13550 	CSCE 	750 	001 	COL 	3.000 	30 - Columbia Full Term 	Analysis of Algorithms 	MW 	11:40 am-12:55 pm 	35 	29 	6 	Jason Matthew Okane (P) 	08/20-12/04 	SWGN 2A05 	 
  	  	  	  	  	  	  	  	  	MW 	11:40 am-12:55 pm 	  	  	  	Jason Matthew Okane (P) 	08/20-12/04 	SWGN 1A20 	 
SR 	18024 	CSCE 	750 	006 	COL 	3.000 	30 - Columbia Full Term 	Analysis of Algorithms 	MW 	11:40 am-12:55 pm 	10 	3 	7 	Jason Matthew Okane (P) 	08/20-12/04 	3WEB 1 	 
SR 	18027 	CSCE 	774 	001 	COL 	3.000 	30 - Columbia Full Term 	Robotics Systems 	TR 	11:40 am-12:55 pm 	30 	4 	26 	Ioannis M Rekleitis (P) 	08/20-12/04 	SWGN 2A15 	 
SR 	16745 	CSCE 	791 	001 	COL 	1.000 	30 - Columbia Full Term 	Seminar in Advances in Computing 	F 	02:20 pm-03:10 pm 	29 	12 	17 	Gabriel Alin Terejanu (P) 	08/20-12/04 	SWGN 2A18 	 
SR 	13298 	CSCE 	798 	001 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Jason Daniel Bakos (P) 	08/20-12/04 	TBA 	 
SR 	13301 	CSCE 	798 	002 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	1 	49 	Jenay Michelle Beer (P) 	08/20-12/04 	TBA 	 
SR 	13303 	CSCE 	798 	003 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Duncan A. Buell (P) 	08/20-12/04 	TBA 	 
SR 	13304 	CSCE 	798 	004 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Caroline Merriam Eastman (P) 	08/20-12/04 	TBA 	 
SR 	13306 	CSCE 	798 	005 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	2 	48 	Csilla Farkas (P) 	08/20-12/04 	TBA 	 
SR 	13307 	CSCE 	798 	006 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Stephen A. Fenner (P) 	08/20-12/04 	TBA 	 
SR 	13309 	CSCE 	798 	007 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Jianjun Hu (P) 	08/20-12/04 	TBA 	 
SR 	21610 	CSCE 	798 	008 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Chin-Tser Huang (P) 	08/20-12/04 	TBA 	 
SR 	13310 	CSCE 	798 	009 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Michael N. Huhns (P) 	08/20-12/04 	TBA 	 
SR 	13314 	CSCE 	798 	010 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Manton M. Matthews (P) 	08/20-12/04 	TBA 	 
SR 	13316 	CSCE 	798 	011 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Srihari Nelakuditi (P) 	08/20-12/04 	TBA 	 
SR 	13319 	CSCE 	798 	012 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Jason Matthew Okane (P) 	08/20-12/04 	TBA 	 
SR 	13321 	CSCE 	798 	013 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Ioannis M Rekleitis (P) 	08/20-12/04 	TBA 	 
SR 	13324 	CSCE 	798 	014 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	John R. Rose (P) 	08/20-12/04 	TBA 	 
SR 	13326 	CSCE 	798 	015 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Jijun Tang (P) 	08/20-12/04 	TBA 	 
SR 	13329 	CSCE 	798 	016 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	1 	49 	Gabriel Alin Terejanu (P) 	08/20-12/04 	TBA 	 
SR 	13333 	CSCE 	798 	017 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Matt Eric Thatcher (P) 	08/20-12/04 	TBA 	 
SR 	13334 	CSCE 	798 	018 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	2 	48 	Yan Tong (P) 	08/20-12/04 	TBA 	 
SR 	13342 	CSCE 	798 	019 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	1 	49 	Homayoun Valafar (P) 	08/20-12/04 	TBA 	 
SR 	13347 	CSCE 	798 	020 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Marco Valtorta (P) 	08/20-12/04 	TBA 	 
SR 	13352 	CSCE 	798 	021 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Jose M Vidal (P) 	08/20-12/04 	TBA 	 
SR 	13356 	CSCE 	798 	022 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	3 	47 	Song Wang (P) 	08/20-12/04 	TBA 	 
SR 	21621 	CSCE 	798 	023 	COL 	1.000-12.000 	30 - Columbia Full Term 	Directed Study and Research 	  	TBA 	50 	0 	50 	Wenyuan Xu (P) 	08/20-12/04 	TBA 	 
SR 	13364 	CSCE 	799 	001 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Jason Daniel Bakos (P) 	08/20-12/04 	TBA 	 
SR 	13373 	CSCE 	799 	002 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Jenay Michelle Beer (P) 	08/20-12/04 	TBA 	 
SR 	13384 	CSCE 	799 	003 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Duncan A. Buell (P) 	08/20-12/04 	TBA 	 
SR 	13388 	CSCE 	799 	004 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Caroline Merriam Eastman (P) 	08/20-12/04 	TBA 	 
SR 	13392 	CSCE 	799 	005 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Csilla Farkas (P) 	08/20-12/04 	TBA 	 
SR 	13396 	CSCE 	799 	006 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Stephen A. Fenner (P) 	08/20-12/04 	TBA 	 
SR 	13399 	CSCE 	799 	007 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Jianjun Hu (P) 	08/20-12/04 	TBA 	 
SR 	21638 	CSCE 	799 	008 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Chin-Tser Huang (P) 	08/20-12/04 	TBA 	 
SR 	13406 	CSCE 	799 	009 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Michael N. Huhns (P) 	08/20-12/04 	TBA 	 
SR 	13409 	CSCE 	799 	010 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Manton M. Matthews (P) 	08/20-12/04 	TBA 	 
SR 	13412 	CSCE 	799 	011 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Srihari Nelakuditi (P) 	08/20-12/04 	TBA 	 
SR 	13418 	CSCE 	799 	012 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Jason Matthew Okane (P) 	08/20-12/04 	TBA 	 
SR 	13422 	CSCE 	799 	013 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Ioannis M Rekleitis (P) 	08/20-12/04 	TBA 	 
SR 	13428 	CSCE 	799 	014 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	John R. Rose (P) 	08/20-12/04 	TBA 	 
SR 	13437 	CSCE 	799 	015 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Jijun Tang (P) 	08/20-12/04 	TBA 	 
SR 	13441 	CSCE 	799 	016 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Gabriel Alin Terejanu (P) 	08/20-12/04 	TBA 	 
SR 	13444 	CSCE 	799 	017 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Matt Eric Thatcher (P) 	08/20-12/04 	TBA 	 
SR 	13447 	CSCE 	799 	018 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Yan Tong (P) 	08/20-12/04 	TBA 	 
SR 	13448 	CSCE 	799 	019 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Homayoun Valafar (P) 	08/20-12/04 	TBA 	 
SR 	13449 	CSCE 	799 	020 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Marco Valtorta (P) 	08/20-12/04 	TBA 	 
SR 	13452 	CSCE 	799 	021 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Jose M Vidal (P) 	08/20-12/04 	TBA 	 
SR 	13453 	CSCE 	799 	022 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Song Wang (P) 	08/20-12/04 	TBA 	 
SR 	21640 	CSCE 	799 	023 	COL 	1.000-12.000 	30 - Columbia Full Term 	Thesis Preparation 	  	TBA 	50 	0 	50 	Wenyuan Xu (P) 	08/20-12/04 	TBA 	 
SR 	21157 	CSCE 	813 	001 	COL 	3.000 	30 - Columbia Full Term 	Internet Security 	TR 	01:15 pm-02:30 pm 	30 	11 	19 	Chin-Tser Huang (P) 	08/20-12/04 	300MN B112 	 
SR 	18030 	CSCE 	883 	001 	COL 	3.000 	30 - Columbia Full Term 	Machine Learning 	TR 	02:50 pm-04:05 pm 	30 	19 	11 	Gabriel Alin Terejanu (P) 	08/20-12/04 	300MN B112 	 
SR 	13455 	CSCE 	899 	001 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Jason Daniel Bakos (P) 	08/20-12/04 	TBA 	 
SR 	13456 	CSCE 	899 	002 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	1 	49 	Jenay Michelle Beer (P) 	08/20-12/04 	TBA 	 
SR 	13458 	CSCE 	899 	003 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Duncan A. Buell (P) 	08/20-12/04 	TBA 	 
SR 	13459 	CSCE 	899 	004 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Caroline Merriam Eastman (P) 	08/20-12/04 	TBA 	 
SR 	13462 	CSCE 	899 	005 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	2 	48 	Csilla Farkas (P) 	08/20-12/04 	TBA 	 
SR 	13463 	CSCE 	899 	006 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Stephen A. Fenner (P) 	08/20-12/04 	TBA 	 
SR 	13466 	CSCE 	899 	007 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	1 	49 	Jianjun Hu (P) 	08/20-12/04 	TBA 	 
SR 	21689 	CSCE 	899 	008 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Chin-Tser Huang (P) 	08/20-12/04 	TBA 	 
SR 	13467 	CSCE 	899 	009 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Michael N. Huhns (P) 	08/20-12/04 	TBA 	 
SR 	13469 	CSCE 	899 	010 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Manton M. Matthews (P) 	08/20-12/04 	TBA 	 
SR 	13471 	CSCE 	899 	011 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	1 	49 	Srihari Nelakuditi (P) 	08/20-12/04 	TBA 	 
SR 	13476 	CSCE 	899 	012 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Jason Matthew Okane (P) 	08/20-12/04 	TBA 	 
SR 	13477 	CSCE 	899 	013 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Ioannis M Rekleitis (P) 	08/20-12/04 	TBA 	 
SR 	13479 	CSCE 	899 	014 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	1 	49 	John R. Rose (P) 	08/20-12/04 	TBA 	 
SR 	13480 	CSCE 	899 	015 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	1 	49 	Jijun Tang (P) 	08/20-12/04 	TBA 	 
SR 	13482 	CSCE 	899 	016 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Gabriel Alin Terejanu (P) 	08/20-12/04 	TBA 	 
SR 	13483 	CSCE 	899 	017 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Matt Eric Thatcher (P) 	08/20-12/04 	TBA 	 
SR 	13485 	CSCE 	899 	018 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	1 	49 	Yan Tong (P) 	08/20-12/04 	TBA 	 
SR 	13488 	CSCE 	899 	019 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Homayoun Valafar (P) 	08/20-12/04 	TBA 	 
SR 	13489 	CSCE 	899 	020 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Marco Valtorta (P) 	08/20-12/04 	TBA 	 
SR 	13491 	CSCE 	899 	021 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	1 	49 	Jose M Vidal (P) 	08/20-12/04 	TBA 	 
SR 	13493 	CSCE 	899 	022 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	1 	49 	Song Wang (P) 	08/20-12/04 	TBA 	 
SR 	21691 	CSCE 	899 	023 	COL 	1.000-12.000 	30 - Columbia Full Term 	Dissertation Preparation 	  	TBA 	50 	0 	50 	Wenyuan Xu (P) 	08/20-12/04 	TBA
