27	12054	CSCE	101	014	COL	3.00	30 - Columbia Full Term 	Introduction to Computer Concepts 	TR 	10:05 am-10:55 a	24 	11 	13 	TBA 	08/20-12/04 	SMWALT 305	ARP Analytical Reasoning
28	12054	CSCE	101	014	COL	3.00	30 - Columbia Full Term 	Introduction to Computer Concepts 	W 	10:50 am-11:40 a	  	  	  	TBA 	08/20-12/04 	SMWALT 244	ARP Analytical Reasoning
29	12056	CSCE	101	015	COL	3.00	30 - Columbia	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
30	24347	CSCE	101	Z1A	COL	3.00	3B3 - Columbi Full Term 	Introduction to Computer Concepts 	TR 	02:50 pm-03:40 p	24 	5 	19 	TBA 	08/20-12/04 	SMWALT 305	ARP Analytical Reasoning
31	24347	CSCE	101	Z1A	COL	3.00	3B3 - Columbi Full Term 	Introduction to Computer Concepts 	W 	01:10 pm-02:00 p	  	  	  	TBA 	08/20-12/04 	SMWALT 244	ARP Analytical Reasoning
32	12080	CSCE	101	016	COL	3.00	30 - Columbia Full Term 	Introduction to Computer Concepts 	TR 	02:50 pm-03:40 p	24 	15 	9 	TBA 	08/20-12/04 	SMWALT 305	ARP Analytical Reasoning
33	12080	CSCE	101	016	COL	3.00	30 - Columbia Full Term 	Introduction to Computer Concepts 	W 	02:20 pm-03:10 p	  	  	  	TBA 	08/20-12/04 	SMWALT 244	ARP Analytical Reasoning
34	12084	CSCE	101	017	COL	3.00	30 - Columbia Full Term 	Introduction to Computer Concepts 	TR 	02:50 pm-03:40 p	24 	6 	18 	TBA 	08/20-12/04 	SMWALT 305	ARP Analytical Reasoning
35	12084	CSCE	101	017	COL	3.00	30 - Columbia Full Term 	Introduction to Computer Concepts 	W 	03:30 pm-04:20 p	  	  	  	TBA 	08/20-12/04 	SMWALT 244	ARP Analytical Reasoning
36	27354	CSCE	101	018	COL	3.00	30 - Columbia Full Term 	Introduction to Computer Concepts 	MW 	03:30 pm-04:20 p	24 	3 	21 	TBA 	08/20-12/04 	SMWALT 305	ARP Analytical Reasoning
37	27354	CSCE	101	018	COL	3.00	30 - Columbia Full Term 	Introduction to Computer Concepts 	R 	03:30 pm-04:20 p	  	  	  	TBA 	08/20-12/04 	SMWALT 244	ARP Analytical Reasoning
38	24318	CSCE	101	Z01	COL	3.00	3B2 - Columbia 	Introduction to Computer Concepts 	  	TBA 	23 	16 	7 	James Orren McKay (P) 	08/24-12/08 	3WEB 1 	ARP Analytical Reasoning and F
39	24347	CSCE	101	Z1A	COL	3.00	3B3 - Columbia 	Introduction to Computer Concepts 	TR 	05:20 pm-07:50 p	15 	1 	14 	James Orren McKay (P) 	08/24-10/13 	FJAC 1 	ARP Analytical Reasoning and F
40	24387	CSCE	101	Z1B	COL	3.00	3B4 - Columbia 	Introduction to Computer Concepts 	  	TBA 	23 	13 	10 	James Orren McKay (P) 	10/19-12/08 	3WEB 1 	ARP Analytical Reasoning and F
41	12204	CSCE	102	001	COL	3.00	30 - Columbia Full Term 	General Applications Programming 	MW 	09:40 am-10:30 a	24 	24 	0 	TBA 	08/20-12/04 	SMWALT 305	ARP Analytical Reasoning
42	12204	CSCE	102	001	COL	3.00	30 - Columbia Full Term 	General Applications Programming 	F 	08:30 am-09:20 a	  	  	  	TBA 	08/20-12/04 	SMWALT 361	ARP Analytical Reasoning
43	12205	CSCE	102	002	COL	3.00	30 - Columbia Full Term 	General Applications Programming 	MW 	09:40 am-10:30 a	24 	23 	1 	TBA 	08/20-12/04 	SMWALT 305	ARP Analytical Reasoning
44	12205	CSCE	102	002	COL	3.00	30 - Columbia Full Term 	General Applications Programming 	F 	09:40 am-10:30 a	  	  	  	TBA 	08/20-12/04 	SMWALT 361	ARP Analytical Reasoning
45	12206	CSCE	102	003	COL	3.00	30 - Columbia Full Term 	General Applications Programming 	MW 	09:40 am-10:30 a	24 	24 	0 	TBA 	08/20-12/04 	SMWALT 305	ARP Analytical Reasoning
